GSE105951_PD78,GSE64553_MRC5_PD52,GSE63577_BJ,GSE63577_MRC5,GSE63577_HFF,GSE130727_WI38,GSE130727_IMR90,voic_epithelia_sen,GSE109700_early_sen,GSE109700_deep_sen,GSE63577_WI38,GSE64553_HFF_PD74,GSE63577_IMR90
SCUBE3,GREM1,MOXD1,COL1A1,NOMO3,ITGBL1,THY1,LIPG,TNFRSF10D,FBN1,LPAR1,GPR176,LOX
LRRC15,LAMA1,LUM,CNTNAP1,LUM,CDH6,PSG4,ANGPTL4,COL1A1,FAT1,QSOX1,THY1,COL6A3
COL1A1,ANTXR1,SERPINE2,BDNF,COL5A1,PCDHGA12,LPAR1,TFPI2,MXRA5,TNFRSF10D,COL7A1,CNTNAP1,GPR176
SFRP1,COL5A2,CDH2,PXDN,GRIA1,SEMA3A,COL1A2,PLAU,ITGA3,LOXL4,COL1A1,LUM,NID2
FBN1,LTBP1,ITGA11,PLAU,COL1A1,PCDH18,WNT5B,CELSR1,SERPINE2,COL3A1,CD248,GRIA1,LPAR1
TNFRSF11B,FAT1,COL1A1,ELFN2,CTSK,NT5E,PCDH18,TSPAN1,ATG9A,THBS2,LTBP1,COL1A1,WNT5A
COL6A3,GPR176,THBS2,MOXD1,DKK3,FAT1,FKBP10,FKBP10,ITGBL1,TNFRSF11B,PLAT,NOMO3,COL1A2
WNT5B,CDH13,FBN2,FAT1,LRRC15,DPP4,LOX,LAMB3,PXDN,LTBP1,TRHDE,GFRA1,FAT1
COLEC10,PLAU,DKK3,TRHDE,CNTNAP1,NID2,TNFSF4,PTGFRN,COL3A1,COL6A3,LRP11,FBN1,CNTNAP1
PLOD2,LOX,CD248,QSOX1,CD248,PCDHGB7,TLR9,ITGA3,FBN1,ATG9A,CNTNAP1,LOXL4,PSG4
COL1A2,MOXD1,FKBP10,COL6A3,COL5A2,LTBP1,SLC7A11,SDC1,PDCD1LG2,ITGA3,TMEM30A,FKBP10,FKBP10
LPAR1,COL5A1,COL6A3,COL1A2,RECK,MOXD1,CDH6,CA12,SULF1,CDH11,LAMA1,COL6A3,GALNT5
FBN2,COL1A2,SLIT2,ITGA3,SFRP4,ATG9A,FBN1,TACSTD2,COL1A2,COL1A2,COL1A2,COL1A2,LTBP1
THY1,COLEC10,FBN1,AGRN,PSG1,MGAT5,PDGFRA,DSG2,ADAM12,TNFSF4,GPC1,PXDN,SFRP1
PDCD1LG2,ELFN2,COL1A2,LPAR1,FBN1,SLC7A11,CLTC,CD24,THY1,IGFBP3,NPTX1,PTK7,SLC7A11
SEMA3A,TNFSF4,SGCD,FKBP10,PTK7,PLAT,COL3A1,,PLAT,LAMA1,COL5A2,COL3A1,PTK7
LRP11,THY1,COL3A1,LTBP1,SEMA5A,CNNM2,TMEM30A,,COL6A3,GALNT5,FBN2,CD248,COL11A1
TNFSF4,BDNF,NID2,FBN2,COL1A2,THY1,SEMA3A,,FBN2,HHIP,SLC7A11,AGRN,AGRN
PLXNA1,QSOX1,FAT1,COL5A2,SLIT2,GPR176,SFRP1,,FAT1,SLC9A7,MOXD1,CCDC80,CD248
P4HA1,TRHDE,GALNT5,WNT5B,DCBLD2,FBN2,FAT4,,ULBP1,SERPINE2,FKBP10,ATG9A,PDGFRA
SLC9A7,CD248,DCBLD2,PLXNA1,COL3A1,GPR39,FSTL1,,DCBLD2,FKBP10,PLXNA1,SEMA5A,ANTXR1
PDGFRA,SLC7A11,PTK7,COL5A1,FAT1,MXRA5,CALU,,LTBP1,DKK3,COL6A3,CERCAM,COL3A1
LTBP1,IGDCC4,WNT5B,WNT5A,NID2,PCDHGC3,ABCC4,,PRSS35,CCDC80,ANTXR1,BDNF,EMILIN1
NID2,PTK7,CERCAM,MEGF8,FKBP10,TM9SF1,PXDN,,CCDC80,PLOD2,CDH6,EFEMP1,PLXNA1
LAMA1,LRP11,AGRN,TNFSF4,NFASC,SCUBE3,LTBP1,,SLC9A7,CDH6,CERCAM,DKK3,PCDH18
MXRA5,ABCC4,GRIA1,LAMB1,ANTXR1,TEK,NT5E,,IGFBP3,THY1,PDGFRA,FAT1,TNFSF18
TRHDE,ITGA3,CDH11,ANTXR1,COL6A3,ROBO1,PSG5,,PTK7,P4HA1,CALU,CDH11,NLGN2
IGFBP3,AGRN,FSTL1,ANGPTL2,BDNF,ANTXR1,ITGB1,,PLOD2,MXRA5,PVR,THBS2,FN1
PLOD1,PLXNA1,PXDN,NLGN2,GALNT5,CALU,PCDHGB4,,PLXNA1,PDCD1LG2,ADAM9,CSPG4,ELFN2
CALU,PDGFRA,COLEC12,NEO1,CDH11,HSD17B2,FN1,,DKK3,PCDHGB5,COL5A1,FSTL1,SGCD
TMEM30A,ITGA8,SEMA5A,PDGFRA,ROBO2,PLAU,MXRA8,,CDH10,PDGFRA,WNT5A,MOXD1,TRHDE
CDH2,CLTC,LAMC1,PLAT,CERCAM,ITGA11,COL5A1,,CDH13,PXDN,FN1,IGFBP3,CALU
COL3A1,PCDHGB4,LAMA2,CERCAM,CORIN,CAPN2,EMILIN1,,FSTL1,EFEMP1,PXDN,PLXNA1,MFAP4
PVR,THSD4,ANPEP,ATG9A,ANGPTL2,ABCC4,TNFRSF10D,,CDH4,COL1A1,NT5E,COLEC12,GPC1
EPHB2,CALU,GPC1,PTK7,COLEC12,CEACAM19,PLAU,,PCDHGB4,FN1,ABCC4,TRHDE,FSTL1
FN1,PLAT,FBLN2,PCDH18,JAM2,PVR,NPTX1,,NTM,WNT5A,TNFRSF10D,ADGRA2,PLAU
CANX,EMILIN1,CALU,CLTC,STS,CTSK,ATG9A,,PTPRS,CDH13,ATG9A,LRRC15,ANGPTL2
FKBP10,COL3A1,BDNF,CALU,CDH2,FN1,AGRN,,FN1,ITGA2,GPC4,INHBE,ATG9A
FSTL1,HSD17B2,PLXNA1,THSD4,ADGRA2,PDCD1LG2,COLEC10,,ADAM19,FSTL1,ANGPTL2,PPFIA4,COL6A1
ADAM9,PCDHGC3,PDCD1LG2,FN1,IGFBP3,CLMP,ANGPT1,,BMP1,LRP11,PTK7,NID2,FBN1
ADAM19,FN1,PLOD1,GPC1,FBLN2,LOX,EPHB2,,WNT5A,CALU,TEK,GALNT5,PLAT
CDH11,SEMA5A,FN1,SEMA5A,FSTL1,LAMB1,QSOX1,,CERCAM,SEMA5A,CLTC,PLOD1,ABCC4
FAT4,NEO1,CSPG4,EMILIN1,PTPRS,ANGPTL2,ADAM9,,CALU,CDCP1,WNT5B,GPC1,LRP11
ITGA3,WNT5B,IGFBP3,CDH13,NLGN2,COL5A2,PDCD1LG2,,AMIGO2,CLTC,NLGN2,PCDHGB4,LAMB1
PTPRS,SEMA3A,ANTXR1,CCDC80,WNT5B,DDR2,PTK7,,LRP11,FAT4,SERPINE2,SGCD,MXRA8
SLC1A1,ADAM9,ATG9A,ITGB1,LAYN,THSD4,LAMA1,,MFAP5,THSD4,AGRN,WNT5B,COLEC10
CDH6,WNT5A,TRHDE,CAPN2,GPC1,PXDN,MYL6B,,INHBE,HEG1,PCDH18,RECK,CDH13
THSD4,LAMB1,CLSTN2,SLC14A1,MXRA8,FAT4,DDR2,,QSOX1,SLC1A1,SEMA3A,NFASC,CDH11
PLAT,NT5E,TNFSF18,ABCC4,LRRN4CL,ASPH,ITGA2,,SEMA7A,DDR2,ITGBL1,FN1,SEMA3A
LAMC1,ANGPTL2,MXRA8,PDCD1LG2,ATG9A,LAMC1,COL1A1,,TEK,FBN2,ASPH,SERPINE2,NT5E
TNFRSF10D,GFRA1,NFASC,PLOD1,EPDR1,ROBO2,MMP16,,COL7A1,ULBP1,FSTL1,MXRA8,LUM
ANTXR1,CSPG4,SFRP1,ADAM9,CCDC80,WNT5A,GPC1,,HEG1,EPHB2,PTPRS,CALU,THSD4
ASPH,NTM,LAYN,SDC3,TRPC6,TNFRSF10D,CDH2,,POSTN,LAMC1,SLC1A1,ANTXR1,SEMA5A
ANGPT1,CAPN2,SERPINB2,PTPRS,LAMC1,MYOF,ANTXR1,,LAMC1,ADAM12,CSPG4,LAMC1,MOXD1
QSOX1,CANX,THSD4,NT5E,PDGFRA,ADAM9,LAMB1,,AGRN,PTPRS,PRNP,PTPRS,SERPINE2
CADM1,ATG9A,FRAS1,NID2,FN1,ITGA2,ITGB3,,CHST3,P4HA2,SEMA5A,LAMA2,PCDHGC3
SEMA5A,TNFSF18,CDH13,EPHB2,FKBP9,NEO1,CDH11,,LUM,SEMA3A,IGDCC4,PDCD1LG2,CCDC80
ITGA2,SGCD,COL6A1,MXRA8,CALU,LAMA4,SGCD,,PDGFRA,LMO7,MXRA8,FBLN2,PLOD1
LAMB1,NLGN2,CTSK,CSPG4,SGCD,SLC14A1,TEK,,NT5E,NT5E,EMILIN1,ROBO1,NTM
CACNA2D1,PDCD1LG2,CLMP,ADGRA2,PLOD1,LUM,ASPH,,GFRA1,COL12A1,PLAU,SLIT2,PDGFRB
GFRA1,GPC1,SFRP4,NTM,NLGN4Y,F2R,LMO7,,NPTX1,TEK,LOX,AXL,PTPRS
CDCP1,PLOD1,EMILIN1,SLC6A15,SEMA3A,SERPINE2,SLC4A4,,GALNT5,NTM,NEO1,COL6A1,ITGB1
ITGB1,P4HB,LAMA4,LOX,COL6A1,FBN1,GFRA1,,PPFIA4,ITGB1,GPR37,CDH13,SDC3
SERPINE2,COL6A1,FKBP9,GFRA1,HEG1,PTPRK,AXL,,P4HA2,CERCAM,ITGB1,LAYN,ITGA3
CCDC80,TEK,DPP4,SEMA3A,EFEMP1,COL6A3,PLOD2,,CSPG4,SEMA3C,MGAT5,EMILIN1,ADGRA2
PCDH18,EPHB2,MYOF,CADM1,MFAP4,COL1A2,CRIM1,,SLC7A11,ANTXR1,DCN,CRIM1,COL6A2
SRPX2,IGF2R,GFRA1,FSTL1,S1PR3,DCN,PLAT,,NID2,LAMA4,LMO7,PDGFRB,TNFSF4
ITGBL1,LAMC1,AXL,COL6A2,SFRP1,PRSS23,COL6A2,,PVR,ITGB3,SLC14A1,SDC3,CERCAM
THBS2,CERCAM,PCDH18,COL6A1,QSOX1,FSTL1,SPARC,,EPHB2,PVR,THSD4,PCDH18,LAMC1
LUM,SDC3,ADGRA2,FBN1,EMILIN1,SPARC,CCDC80,,ADGRA2,PTK7,ADGRA2,FKBP9,F2R
CRIM1,MYOF,CCDC80,AXL,ITGBL1,,DCN,,ADAMTS15,APLP1,SDC3,BGN,PVR
CSPG4,MXRA8,LMO7,LAMA5,IL17RB,,CLIC4,,CA12,ADAM9,COL6A1,HSPG2,AXL
LMO7,ADAMTS7,CRIM1,LAMC1,PRELP,,THBS1,,DDR2,POSTN,ITGA8,COL6A2,HEG1
MYOF,ADGRA2,ASPH,FAT4,THSD4,,,,THSD4,CHST3,ALCAM,AEBP1,ITGA2
AXL,FBN1,COL6A2,MYOF,LAMA4,,,,CDH6,QSOX1,HEG1,ANPEP,DCN
PLAU,MXRA5,PDGFRB,ASPH,PDGFRB,,,,GPC1,SRPX2,FBN1,MYOF,CDH2
SPARC,NID2,LAMB1,COL3A1,DCN,,,,SEMA5A,GFRA1,LAMB1,SPARC,GFRA1
ITGB5,F2R,SPARC,ITGA2,TNXB,,,,AXL,LPAR1,CRIM1,CLIC4,ASPH
ALCAM,COL6A2,AEBP1,CTSK,AEBP1,,,,COL12A1,MFAP5,ITGB5,THBS1,ADAM9
OSMR,CLMP,HSPG2,MFGE8,SDC3,,,,ITGB5,CA12,SRPX,,VASN
CLIC4,AXL,THBS1,PTPRK,ASPH,,,,FBLN2,ITGB5,COL3A1,,ITGB5
COL6A2,ITGB5,DCN,HEG1,VASN,,,,ANTXR1,ANGPT1,EFEMP1,,LMO7
PRSS23,ITGA2,,ITGB5,COL6A2,,,,ITGA5,SERPINB2,PTPRK,,MYOF
THBS1,SLC14A1,,CLIC4,PXDN,,,,TPBG,IL1A,COL6A2,,EFEMP1
,PTPRK,,CRIM1,LMO7,,,,CRIM1,ITGBL1,MYOF,,PLOD2
,CD109,,EFEMP1,CRIM1,,,,SLC2A1,VCAN,CCDC80,,SPARC
,ASPH,,SPARC,SPARC,,,,SEMA3C,SFRP1,MFGE8,,LAMA4
,FSTL1,,DCN,THBS1,,,,ADAM9,AXL,LAMC1,,BGN
,EFEMP1,,FLNA,,,,,FKBP9,CRIM1,SPARC,,FLNA
,SLC7A2,,ACTN1,,,,,PDGFRB,LUM,THBS1,,THBS1
,DCN,,THBS1,,,,,LMO7,CSPG4,,,
,SPARC,,,,,,,EFEMP1,FBLN2,,,
,CLIC4,,,,,,,SLC7A5,TFPI2,,,
,THBS1,,,,,,,CLIC4,MYOF,,,
,,,,,,,,SPARC,CLIC4,,,
,,,,,,,,COL6A2,THBS1,,,
,,,,,,,,THBS1,SPARC,,,
,,,,,,,,VCAN,,,,
,,,,,,,,COL6A1,,,,
