GSE63577_BJ_transcripts,GSE63577_IMR90_transcripts,voic_epithelia_sen_transcripts,GSE63577_HFF_transcripts,GSE105951_PD78_transcripts,GSE130727_IMR90_transcripts,GSE130727_WI38_transcripts,GSE64553_MRC5_transcripts,GSE109700_early_sen_transcripts,GSE109700_deep_sen_transcripts,GSE64553_HFF_transcripts,GSE63577_MRC5_transcripts,GSE63577_WI38_transcripts
ENST00000487661 - HEG1,ENST00000612334 - CERCAM,ENST00000318266 - PTPRA,ENST00000572008 - RPS15A,ENST00000545380 - CADM1,ENST00000513960 - VCAN,ENST00000454757 - EGFR,ENST00000545094 - CADM1,ENST00000409532 - ITGA6,ENST00000317840 - COL3A1,ENST00000521946 - SULF1,ENST00000426982 - KIAA0319L,ENST00000478574 - S100A10
ENST00000464116 - XRCC6,ENST00000453308 - PXDN,ENST00000438120 - PTPRF,ENST00000366175 - PSG5,ENST00000447941 - PXDN,ENST00000579475 - NOTCH2,ENST00000472129 - CLTC,ENST00000407925 - LTBP1,ENST00000637614 - ATP6AP2,ENST00000510373 - ERAP2,ENST00000597374 - PSG4,ENST00000545094 - CADM1,ENST00000599371 - PSG4
ENST00000497849 - VIM,ENST00000441738 - TIMP1,ENST00000357244 - RC3H2,ENST00000462745 - MME,ENST00000534511 - DKK3,ENST00000545273 - GNS,ENST00000395983 - BDNF,ENST00000541434 - CADM1,ENST00000509814 - ITGA2,ENST00000488729 - KIDINS220,ENST00000582193 - RPL19,ENST00000395603 - ATRX,ENST00000230418 - PTK7
ENST00000473257 - ACTB,ENST00000529277 - CD82,ENST00000354785 - FN1,ENST00000406487 - PSG2,ENST00000519678 - ASPH,ENST00000426059 - FN1,ENST00000548117 - CD63,ENST00000521694 - PLAT,ENST00000395770 - LNPEP,ENST00000480226 - ITGB1,ENST00000508067 - LOX,ENST00000523927 - ASPH,ENST00000487694 - ROBO2
ENST00000593513 - AXL,ENST00000433626 - PSG4,ENST00000522652 - ST3GAL1,ENST00000360490 - MME,ENST00000533305 - LMO7,ENST00000468758 - MGAT5,ENST00000560611 - SLC12A6,ENST00000495273 - ROBO1,ENST00000318493 - MET,ENST00000409938 - EPHA4,ENST00000366175 - PSG5,ENST00000558964 - NEO1,ENST00000435149 - NCSTN
ENST00000494950 - PLOD2,ENST00000439274 - APP,ENST00000447280 - SERPINE2,ENST00000636571 - CTSD,ENST00000406359 - TEK,ENST00000590693 - TUBB6,ENST00000527590 - THY1,ENST00000537058 - CADM1,ENST00000494950 - PLOD2,ENST00000455077 - SLC4A7,ENST00000356005 - FN1,ENST00000494950 - PLOD2,ENST00000473257 - ACTB
ENST00000433626 - PSG4,ENST00000542912 - PHB2,ENST00000502527 - VCAN,ENST00000436291 - PSG1,ENST00000328306 - SLC9A7,ENST00000614102 - FAT1,ENST00000543704 - M6PR,ENST00000426982 - KIAA0319L,ENST00000488729 - KIDINS220,ENST00000475220 - FKBP9,ENST00000494831 - LAMB2,ENST00000555616 - ACTN1,ENST00000396861 - GAPDH
ENST00000478574 - S100A10,ENST00000555616 - ACTN1,ENST00000439274 - APP,ENST00000519510 - PLAT,ENST00000484088 - ITGB1,ENST00000510722 - ITGA2,ENST00000474564 - COL12A1,ENST00000415140 - LTBP1,ENST00000437302 - ITGB1,ENST00000486979 - ALCAM,ENST00000599226 - PSG7,ENST00000354785 - FN1,ENST00000597374 - PSG4
ENST00000342951 - PSG5,ENST00000544301 - VIM,ENST00000418333 - TGFA,ENST00000471066 - FKBP9,ENST00000479257 - CALU,ENST00000265077 - VCAN,ENST00000422669 - LTBP1,ENST00000433736 - ITGAV,ENST00000467255 - NTM,ENST00000527889 - CD44,ENST00000402456 - PSG6,ENST00000306349 - BMP1,ENST00000558964 - NEO1
ENST00000512756 - COL11A1,ENST00000230418 - PTK7,ENST00000374630 - EPHB2,ENST00000401992 - PSG5,ENST00000494831 - LAMB2,ENST00000589720 - PIGN,ENST00000368205 - PTPRK,ENST00000551173 - CD63,ENST00000518161 - TMEM30A,ENST00000574721 - ADCY9,ENST00000593513 - AXL,ENST00000368215 - PTPRK,ENST00000407925 - LTBP1
ENST00000559627 - PTGS2,ENST00000523927 - ASPH,ENST00000269217 - LAMA3,ENST00000244296 - PSG1,ENST00000475898 - ADAM10,ENST00000480226 - ITGB1,ENST00000357244 - RC3H2,ENST00000514458 - LMAN2,ENST00000326857 - DCBLD2,ENST00000318493 - MET,ENST00000518783 - GRIA1,ENST00000589923 - GRN,ENST00000354785 - FN1
ENST00000601833 - PSG6,ENST00000455727 - LDLR,ENST00000449045 - PPT1,ENST00000470660 - LRP10,ENST00000486979 - ALCAM,ENST00000395770 - LNPEP,ENST00000623321 - ATRX,ENST00000558964 - NEO1,ENST00000480226 - ITGB1,ENST00000637614 - ATP6AP2,ENST00000573778 - P4HB,ENST00000360642 - CLCN3,ENST00000332843 - COLEC10
ENST00000478064 - LAMC1,ENST00000407925 - LTBP1,ENST00000374893 - ECE1,ENST00000518092 - SLIT3,ENST00000409349 - ANTXR1,ENST00000544305 - EPHB2,ENST00000436117 - MET,ENST00000416334 - NT5E,ENST00000465809 - PXDN,ENST00000503810 - ITGA2,ENST00000494950 - PLOD2,ENST00000453308 - PXDN,ENST00000259056 - GALNT5
ENST00000438462 - RTN4,ENST00000522566 - FZD6,ENST00000264012 - CDH3,ENST00000374990 - TGFBR1,ENST00000486533 - COL12A1,ENST00000360642 - CLCN3,ENST00000493109 - COL12A1,ENST00000562090 - GLG1,ENST00000510373 - ERAP2,ENST00000520052 - ANGPT1,ENST00000406487 - PSG2,ENST00000475111 - TMEM30A,ENST00000470660 - LRP10
ENST00000555616 - ACTN1,ENST00000439918 - P4HB,ENST00000368092 - SLAMF9,ENST00000478574 - S100A10,ENST00000397886 - PTTG1IP,ENST00000588428 - NCLN,ENST00000475715 - NRDC,ENST00000494395 - ITGB1,ENST00000636815 - ASAH1,ENST00000509647 - FAT1,ENST00000558132 - ANXA2,ENST00000486979 - ALCAM,ENST00000617924 - THBS2
ENST00000413956 - SERPINB2,ENST00000519011 - FZD6,ENST00000543351 - VDAC2,ENST00000503759 - LOX,ENST00000509647 - FAT1,ENST00000356660 - BDNF,ENST00000612161 - SLC38A1,ENST00000368215 - PTPRK,ENST00000409938 - EPHA4,ENST00000423829 - ICAM1,ENST00000488683 - CLIC4,ENST00000447282 - PCBP2,ENST00000530786 - BDNF
ENST00000439918 - P4HB,ENST00000406359 - TEK,ENST00000619133 - CD24,ENST00000543704 - M6PR,ENST00000357244 - RC3H2,ENST00000504734 - CANX,ENST00000455727 - LDLR,ENST00000591194 - SLC44A2,ENST00000488053 - TNFSF4,ENST00000524009 - PLAT,ENST00000478574 - S100A10,ENST00000439918 - P4HB,ENST00000597349 - PSG4
ENST00000437761 - CD59,ENST00000523739 - FZD6,ENST00000542485 - ACVR1B,ENST00000591194 - SLC44A2,ENST00000552754 - CD63,ENST00000302278 - ITGB1,ENST00000509490 - PDGFRA,ENST00000518161 - TMEM30A,ENST00000574721 - ADCY9,ENST00000509960 - ITGA2,ENST00000552516 - TGFBR1,ENST00000521694 - PLAT,ENST00000591194 - SLC44A2
ENST00000360490 - MME,ENST00000552516 - TGFBR1,ENST00000543464 - CPD,ENST00000396861 - GAPDH,ENST00000493278 - CALU,ENST00000473598 - LMNA,ENST00000492888 - KIAA0319L,ENST00000529277 - CD82,ENST00000395986 - BDNF,ENST00000444954 - CRELD2,ENST00000601073 - PSG1,ENST00000547300 - TRHDE,ENST00000523108 - MGAT4B
ENST00000494831 - LAMB2,ENST00000558132 - ANXA2,ENST00000348333 - TNFRSF25,ENST00000407356 - PSG5,ENST00000532519 - HYOU1,ENST00000392003 - COL6A3,ENST00000409532 - ITGA6,ENST00000457660 - SLC3A2,ENST00000532165 - JAM3,ENST00000518161 - TMEM30A,ENST00000370055 - L1CAM,ENST00000441738 - TIMP1,ENST00000521597 - TNFRSF11B
ENST00000552516 - TGFBR1,ENST00000537058 - CADM1,ENST00000376263 - HNRNPK,ENST00000521946 - SULF1,ENST00000426982 - KIAA0319L,ENST00000541428 - ASPH,ENST00000541428 - ASPH,ENST00000264441 - PCYOX1,ENST00000413878 - CDH2,ENST00000484114 - LAMC1,ENST00000588454 - CALR,ENST00000416334 - NT5E,ENST00000493254 - CYSLTR1
ENST00000508067 - LOX,ENST00000490286 - DPP4,ENST00000530591 - ST3GAL4,ENST00000601833 - PSG6,ENST00000422669 - LTBP1,ENST00000553585 - HSP90AA1,ENST00000547250 - ATP5F1B,ENST00000360642 - CLCN3,ENST00000524009 - PLAT,ENST00000447941 - PXDN,ENST00000399516 - LAMA3,ENST00000361242 - ATG9A,ENST00000522293 - MGAT4B
ENST00000447282 - PCBP2,ENST00000573778 - P4HB,ENST00000381551 - PDGFB,ENST00000493254 - CYSLTR1,ENST00000392029 - QSOX1,ENST00000488500 - EEF1A1,ENST00000263398 - CD44,ENST00000612334 - CERCAM,ENST00000593513 - AXL,ENST00000624032 - ATRX,ENST00000560389 - ANXA2,ENST00000503810 - ITGA2,ENST00000519836 - MGAT4B
ENST00000471066 - FKBP9,ENST00000593104 - PRKCSH,ENST00000523739 - FZD6,ENST00000487694 - ROBO2,ENST00000532377 - LMO7,ENST00000525469 - CD44,ENST00000405269 - SLC8A1,ENST00000525469 - CD44,ENST00000410057 - ACVR1,ENST00000395770 - LNPEP,ENST00000595949 - PSG4,ENST00000437761 - CD59,ENST00000588454 - CALR
ENST00000443913 - CTSK,ENST00000553373 - FERMT2,ENST00000415148 - CD44,ENST00000486085 - RTN4,ENST00000355279 - FAS,ENST00000541434 - CADM1,ENST00000519080 - TEK,ENST00000376723 - UGGT1,ENST00000525061 - SULF1,ENST00000628403 - SLC12A2,ENST00000393301 - CTSC,ENST00000464116 - XRCC6,ENST00000439918 - P4HB
ENST00000514032 - CANX,ENST00000558964 - NEO1,ENST00000490273 - SLC22A23,ENST00000335110 - FAT4,ENST00000564631 - TMX3,ENST00000504880 - SLC38A9,ENST00000494950 - PLOD2,ENST00000508067 - LOX,ENST00000537508 - SLC3A2,ENST00000351898 - SLC4A4,ENST00000473257 - ACTB,ENST00000393301 - CTSC,ENST00000519011 - FZD6
ENST00000523927 - ASPH,ENST00000493254 - CYSLTR1,ENST00000352931 - PTK7,ENST00000440575 - OSTM1,ENST00000527203 - FGFR1,ENST00000597912 - PSG4,ENST00000559494 - TSPAN3,ENST00000326857 - DCBLD2,ENST00000444954 - CRELD2,ENST00000460008 - DCBLD2,ENST00000559627 - PTGS2,ENST00000435149 - NCSTN,ENST00000440575 - OSTM1
ENST00000404580 - PSG5,ENST00000393301 - CTSC,ENST00000423113 - ITGB1,ENST00000354785 - FN1,ENST00000525469 - CD44,ENST00000502326 - IL6ST,ENST00000471066 - FKBP9,ENST00000299767 - HSP90B1,ENST00000361242 - ATG9A,ENST00000265077 - VCAN,ENST00000439918 - P4HB,ENST00000520523 - PLAT,ENST00000436949 - SEMA3A
ENST00000509636 - PAM,ENST00000436949 - SEMA3A,ENST00000283249 - ITGB6,ENST00000436949 - SEMA3A,ENST00000558132 - ANXA2,ENST00000519011 - FZD6,ENST00000524835 - TM9SF1,ENST00000486085 - RTN4,ENST00000451279 - PCYOX1,ENST00000520734 - ANGPT1,ENST00000572008 - RPS15A,ENST00000407925 - LTBP1,ENST00000453308 - PXDN
ENST00000420512 - CERCAM,ENST00000504734 - CANX,,ENST00000263556 - P4HA1,ENST00000378192 - TLN1,ENST00000627032 - GLG1,ENST00000435149 - NCSTN,ENST00000435149 - NCSTN,ENST00000465851 - SLC39A10,ENST00000465851 - SLC39A10,ENST00000560165 - ANXA2,ENST00000529277 - CD82,ENST00000558132 - ANXA2
ENST00000589923 - GRN,ENST00000552588 - RPL18,,ENST00000352931 - PTK7,ENST00000474644 - COL1A1,ENST00000525209 - CD44,ENST00000621109 - PSG9,ENST00000354785 - FN1,ENST00000624032 - ATRX,ENST00000360642 - CLCN3,ENST00000401942 - PSG5,ENST00000525981 - RPL27A,ENST00000542912 - PHB2
ENST00000533305 - LMO7,ENST00000518867 - MGAT4B,,ENST00000260356 - THBS1,ENST00000438277 - UGGT1,ENST00000609928 - TOR1AIP2,ENST00000489941 - LMO7,ENST00000525981 - RPL27A,ENST00000628403 - SLC12A2,ENST00000437302 - ITGB1,ENST00000537508 - SLC3A2,ENST00000512756 - COL11A1,ENST00000602039 - PSG1
ENST00000518161 - TMEM30A,ENST00000396861 - GAPDH,,ENST00000478064 - LAMC1,ENST00000509814 - ITGA2,ENST00000328306 - SLC9A7,ENST00000541434 - CADM1,ENST00000504734 - CANX,ENST00000509647 - FAT1,ENST00000593513 - AXL,ENST00000464116 - XRCC6,ENST00000517352 - TNFRSF11B,ENST00000451895 - PSG4
ENST00000505593 - LOX,ENST00000543704 - M6PR,,ENST00000312439 - PSG1,ENST00000498479 - RC3H2,ENST00000623321 - ATRX,ENST00000407925 - LTBP1,ENST00000356005 - FN1,ENST00000425719 - NTM,ENST00000512590 - VCAN,ENST00000453308 - PXDN,ENST00000480226 - ITGB1,ENST00000537508 - SLC3A2
ENST00000494395 - ITGB1,ENST00000440575 - OSTM1,,ENST00000394890 - P4HA1,ENST00000629385 - ABCC4,ENST00000437169 - NCSTN,ENST00000509647 - FAT1,ENST00000478574 - S100A10,ENST00000484114 - LAMC1,ENST00000530786 - BDNF,ENST00000403380 - PSG1,ENST00000494831 - LAMB2,ENST00000464116 - XRCC6
ENST00000354785 - FN1,ENST00000494395 - ITGB1,,ENST00000438462 - RTN4,ENST00000543091 - LRP6,ENST00000534511 - DKK3,ENST00000360642 - CLCN3,ENST00000486979 - ALCAM,ENST00000360642 - CLCN3,ENST00000532165 - JAM3,ENST00000438462 - RTN4,ENST00000443913 - CTSK,ENST00000490769 - PSG4
