GSE105951_PD78,GSE64553_MRC5_PD52,GSE63577_BJ,GSE63577_MRC5,GSE63577_HFF,GSE130727_WI38,GSE130727_IMR90,voic_epithelia_sen,GSE109700_early_sen,GSE109700_deep_sen,GSE63577_WI38,GSE64553_HFF_PD74,GSE63577_IMR90
PSG7,RSPO1,TOP2A,LRRC15,HOXA11,NCKAP5,CPA4,PLEK2,STC2,BMPER,GMNC,,H2BW2
TRIML2,LRRC15,COL11A1,OR1Q1,HSPB3,FGF5,KRTAP2-1,RPL10L,OR5B17,OR5B17,CHRNA1,,SPINK9
INSYN2B,PPP1R2B,ZNF716,EREG,SCN1A,C1QTNF9B,CHRM2,EPGN,TBC1D3,LOXL2,KRT34,,PSG2
SERPINB2,NLRP8,KRTAP4-8,TBX5,KRT33A,H2BC12,ALPK2,AREG,H3C1,NOXO1,PITX1,,PLGLB2
RTL1,ZIM3,TBX5,DDX47,MME,MMEL1,MMP10,ADGRF4,H4C1,H1-3,SPINK9,,DDX47
INSL4,CDC14C,GOLGA8G,PITX1,KCNB2,GOLGA8Q,SPDYE2B,C19orf33,TBC1D3D,ULBP3,PRB1,,CDC14C
CCN4,PSG7,OR2A4,CRX,OR1Q1,GDF6,ANKRD30BL,GJB2,H4C15,ITGBL1,MINAR2,,PPP1R2B
OR1J2,DDX47,PIMREG,SIGLEC15,PPP1R2B,BDKRB1,TNFRSF11B,IFNE,CA9,CDCP1,CDC14C,,SATL1
H3C1,SLC7A11,CHRM2,SPINK9,RFPL4B,GOLGA8O,H2BC13,PPIAL4E,H3C4,CHRM2,CFAP299,,IQCM
LOX,SPINK9,HTN1,TMEM262,GREM1,PSG1,SNX32,KLC3,COL11A1,MUC19,TMEM262,,SERPINB7
STC2,NPTX1,PAPPA,OR1J2,HOXC10,F2RL2,RFPL4AL1,UGT1A8,PSG7,H3C11,PPP1R2B,,NLRP10
CHRM2,CHRNA1,RSPO1,PPP1R2B,TMEM262,KMO,POTEI,DCAF8L1,CHRNA1,TAS2R30,IQCM,,GAPDHS
CFAP299,IQCM,PTPRQ,CDC14C,PAX3,BLID,KRTAP2-2,BPIFB1,KRT38,H2AC4,CST2,,
CSF2,PITX1,ESCO2,OR10A3,LCE1F,TNFRSF11B,PPP1R42,CPA4,INSL4,HTR1F,SATL1,,
OR10A6,IL31RA,VN1R2,PLGLB2,IQCM,CST2,MMP3,GJB4,COLEC10,GPR39,,,
GMNC,SLC25A52,DPP4,PSG4,NLRP10,CTHRC1,TRIM55,SPRR1B,H2AC12,PSG3,,,
IFNA1,TMEM262,RNASE10,KISS1,,MGARP,DLGAP5,KPNA7,H3C7,STC2,,,
OR51B2,SIGLEC15,KRTAP4-11,IQCM,,CCDC73,PSG7,KRT16,DYNLT4,ZC3H11C,,,
H1-3,PLGLB2,MKI67,CFAP299,,GATD3,RAB3B,NTF4,SLAMF7,HHIP,,,
KRT34,NLRP10,TBPL2,TMEM190,,KRTAP4-12,PSG2,WNT7A,H4C12,H2AC12,,,
KRTAP4-12,H2BW2,LHX9,SATL1,,PCDHGC5,PSG9,TAF1L,PSG9,DAW1,,,
RNF212B,SATL1,KRTAP1-3,GAPDHS,,MMP3,PSG3,BPIFA2,OR2W3,CDH10,,,
LRRC8E,OR1Q1,PSG4,,,CPA4,RAG2,TNS4,LOX,COL11A1,,,
OR1J1,RIMBP3C,PSG7,,,ITGBL1,KRTAP2-3,MSMB,ATP5MGL,SIX1,,,
ZNF560,PSG4,LOX,,,NOXO1,KRTAP1-5,SERPINB2,RPEL1,ALX3,,,
B4GALNT2,,SHOX2,,,MPP4,PLGLB2,FGFBP1,KRTAP2-3,ITGA2,,,
CSNK1A1L,,HOXA13,,,VEPH1,PMCH,IGFL1,PSG6,SLAMF7,,,
KCNU1,,KRTAP4-12,,,PDCD1LG2,,MMP13,OR2S2,CHRNA1,,,
H3C7,,MME,,,GSTT2,,SERPINB13,H2BC13,TBC1D3D,,,
GARIN4,,ALX3,,,SPOCD1,,CTAGE1,H1-3,LOX,,,
C5orf46,,PPP1R2B,,,MYPN,,SERPINB3,MAGED4B,IDI2,,,
H2AC16,,HOXC11,,,OVCH1,,KRT79,GJA3,EPGN,,,
,,FOXE1,,,SLC3A1,,COL17A1,KRT33B,TMEM52B,,,
,,HOXA11,,,PSG5,,MMP12,BLID,KRTAP1-5,,,
,,NLRP10,,,ST6GALNAC2,,PPBP,SMIM11,ATP5MGL,,,
,,TMEM262,,,IGF2BP1,,GGTLC2,OR10Q1,PLET1,,,
,,IQCM,,,MSX2,,PDHA2,IFNA1,RFPL4A,,,
,,,,,PTX3,,SERPINB4,SERPINA9,H2AC13,,,
,,,,,GPR21,,,PSG3,SEBOX,,,
,,,,,EREG,,,CDH10,H4C1,,,
,,,,,GNGT1,,,GJD4,OR1J1,,,
,,,,,DNAI3,,,CDC14C,OR5P3,,,
,,,,,EPHX4,,,TMEM262,MAGED4,,,
,,,,,ALPK2,,,GREM1,KRTAP2-3,,,
,,,,,STON1-GTF2A1L,,,ADIRF,MAGED4B,,,
,,,,,CLVS1,,,PSG1,GREM1,,,
,,,,,CEP295NL,,,H2AC13,PSG4,,,
,,,,,PSG6,,,LCN1,H2BC13,,,
,,,,,HSD17B2,,,LHX9,CTAG2,,,
,,,,,OSTN,,,KRTAP1-5,ALKAL1,,,
,,,,,OR8D1,,,GAPDHS,,,,
,,,,,LYPD1,,,,,,,
,,,,,CFHR1,,,,,,,
,,,,,TBX5,,,,,,,
,,,,,ANO4,,,,,,,
,,,,,PSG7,,,,,,,
,,,,,PLGLB2,,,,,,,
,,,,,GSG1,,,,,,,
,,,,,IL31RA,,,,,,,
,,,,,CHRM2,,,,,,,
,,,,,CHRNA1,,,,,,,
,,,,,RAB3B,,,,,,,
,,,,,MMP10,,,,,,,
,,,,,DPP4,,,,,,,
,,,,,CFAP299,,,,,,,
,,,,,OR1J4,,,,,,,
,,,,,ARHGEF38,,,,,,,
,,,,,MARCHF4,,,,,,,
,,,,,SERPINB2,,,,,,,
,,,,,SLC24A5,,,,,,,
,,,,,LHFPL5,,,,,,,
,,,,,IDI2,,,,,,,
,,,,,SERPINB10,,,,,,,
,,,,,NLRP10,,,,,,,
