GSE63577_BJ_transcripts,GSE63577_IMR90_transcripts,voic_epithelia_sen_transcripts,GSE63577_HFF_transcripts,GSE105951_PD78_transcripts,GSE130727_IMR90_transcripts,GSE130727_WI38_transcripts,GSE64553_MRC5_transcripts,GSE109700_early_sen_transcripts,GSE109700_deep_sen_transcripts,GSE64553_HFF_transcripts,GSE63577_MRC5_transcripts,GSE63577_WI38_transcripts
ENST00000631335 - SCRN1,ENST00000604975 - TPM2,ENST00000256733 - SAA2,ENST00000622074 - missing,ENST00000578975 - AKT2,ENST00000418370 - MYLK,ENST00000481444 - LY6G5C,ENST00000440886 - LPAR3,ENST00000281834 - TNFSF4,ENST00000328252 - PAPPA,ENST00000409672 - SCN9A,ENST00000519826 - COX6B1P4,ENST00000418212 - BDNF
ENST00000619987 - MESD,ENST00000462951 - S100A6,ENST00000444739 - CASP4,ENST00000632802 - missing,ENST00000633992 - GREM1,ENST00000503038 - SEPTIN7P14,ENST00000519720 - TRPA1,ENST00000297350 - TNFRSF11B,ENST00000632219 - SCG5,ENST00000524867 - RPLP2,ENST00000372879 - TOMM7,ENST00000264805 - PDE5A,ENST00000431380 - SPON2
ENST00000581033 - KRTAP3-1,ENST00000603246 - MTCO2P22,ENST00000619935 - CRIM1,ENST00000419761 - MKX,ENST00000560677 - GREM1,ENST00000559206 - UACA,ENST00000520596 - TRPA1,ENST00000599225 - LTBP4,ENST00000483616 - PKD1L1,ENST00000607071 - SERAC1,ENST00000425443 - COL12A1,ENST00000367718 - TNFSF4,ENST00000591504 - CCDC68
ENST00000580358 - KRTAP3-1,ENST00000320241 - FOXL1,ENST00000367030 - LAMB3,ENST00000398955 - MGARP,ENST00000523991 - MDM2,ENST00000482681 - PDE1C,ENST00000436191 - MICA,ENST00000501056 - MTCYBP18,ENST00000554656 - SHMT2,ENST00000496221 - GOLGA2,ENST00000525866 - LAYN,ENST00000633617 - PUF60,ENST00000531859 - CHID1
ENST00000473258 - COL6A3,ENST00000306773 - NPTX1,ENST00000531188 - RPS3,ENST00000400532 - JAM2,ENST00000629679 - HYOU1,ENST00000261180 - TRHDE,ENST00000552821 - VEZT,ENST00000367718 - TNFSF4,ENST00000554820 - WARS1,ENST00000629190 - MIR1248,ENST00000615798 - missing,ENST00000379556 - INSC,ENST00000315274 - MMP1
ENST00000473202 - SERPINE2,ENST00000435165 - SGIP1,ENST00000311528 - RPL13,ENST00000330475 - ADAMTSL5,ENST00000532519 - HYOU1,ENST00000458707 - VPS50,ENST00000217423 - CST4,ENST00000480426 - GAS6,ENST00000438265 - RPE,ENST00000504108 - KLHL5,ENST00000449706 - TM4SF20,ENST00000563985 - MT2A,ENST00000265104 - DNAH5
ENST00000468720 - SPOCD1,ENST00000480356 - F3,ENST00000573283 - ACTG1,ENST00000482196 - SEL1L2,ENST00000584221 - CPD,ENST00000505760 - HERC4,ENST00000591064 - ZNF180,ENST00000576460 - NOMO3,ENST00000244043 - PTGIS,ENST00000352041 - PLAT,ENST00000400256 - COLEC12,ENST00000587566 - MARK4,ENST00000509155 - nan
ENST00000296641 - F2RL2,ENST00000533392 - PARVA,ENST00000377842 - ACOT7,ENST00000448688 - RXFP1,ENST00000588127 - ZNF226,ENST00000409672 - SCN9A,ENST00000566653 - MLST8,ENST00000633153 - NOMO3,ENST00000553581 - WARS1,ENST00000494950 - PLOD2,ENST00000593948 - PSG9,ENST00000372879 - TOMM7,ENST00000259056 - GALNT5
ENST00000549365 - DRAM1,ENST00000443059 - QSOX1,ENST00000394349 - ATP5MC2,ENST00000525697 - SBF2,ENST00000528159 - EXT2,ENST00000551967 - nan,ENST00000493109 - COL12A1,ENST00000045083 - RIPOR3,ENST00000510926 - NEK11,ENST00000494786 - BMPER,ENST00000483641 - SLC38A11,ENST00000297350 - TNFRSF11B,ENST00000514464 - BACE1
ENST00000474267 - WNT5A,ENST00000287667 - NOMO1,ENST00000393962 - ANGPTL4,ENST00000297350 - TNFRSF11B,ENST00000438672 - EFEMP1,ENST00000444726 - DDX39B,ENST00000372828 - ARMCX7P,ENST00000480356 - F3,ENST00000526590 - NLRP10,ENST00000508754 - YIPF5,ENST00000377966 - RECK,ENST00000480426 - GAS6,ENST00000454872 - NAALADL2
ENST00000463678 - ATXN7L2,ENST00000496596 - RPL4P1,ENST00000629582 - BTG3,ENST00000409662 - SLC38A11,ENST00000632025 - missing,ENST00000428098 - DDX39B,ENST00000519080 - TEK,ENST00000383487 - HLA-C,ENST00000629228 - NLRP10,ENST00000608478 - FGF2,ENST00000493406 - WNT5A,ENST00000604975 - TPM2,ENST00000343529 - RELN
ENST00000529303 - PAMR1,ENST00000503771 - TMEM158,ENST00000626871 - DDT,ENST00000418820 - PSG9,ENST00000560317 - FMN1,ENST00000559183 - UACA,ENST00000585521 - PGS1,ENST00000383323 - HLA-C,ENST00000625936 - NLRP10,ENST00000366175 - PSG5,ENST00000462951 - S100A6,ENST00000523582 - TRPA1,ENST00000400877 - LRRC37A3
ENST00000541932 - FLT1,ENST00000477081 - TBX2,ENST00000562787 - CENPT,ENST00000582147 - COLEC12,ENST00000493109 - COL12A1,ENST00000429090 - MITF,ENST00000593166 - SLC25A39,ENST00000438462 - RTN4,ENST00000629080 - HERC2P2,ENST00000574721 - ADCY9,ENST00000431493 - OXTR,ENST00000610073 - GAS6,ENST00000372879 - TOMM7
ENST00000446493 - POLR1H,ENST00000470810 - GLRXP3,ENST00000631859 - CDIP1,ENST00000554661 - NFATC4,ENST00000582588 - RPL17,ENST00000613167 - PLLP,ENST00000505791 - ADAMTS19,ENST00000462951 - S100A6,ENST00000415709 - CRYBB2P1,ENST00000521321 - ENTPD4,ENST00000240285 - RDH10,ENST00000462951 - S100A6,ENST00000423509 - HLA-C
ENST00000493887 - SLC38A11,ENST00000437464 - ZNF469,ENST00000424922 - CALD1,ENST00000271651 - CTSK,ENST00000446732 - GLB1,ENST00000515753 - HERC4,ENST00000421101 - LRRN3,ENST00000468720 - SPOCD1,ENST00000380224 - OR51B4,ENST00000517352 - TNFRSF11B,ENST00000367388 - LHX9,ENST00000222390 - HGF,ENST00000222390 - HGF
ENST00000244869 - EREG,ENST00000481570 - COL1A2,ENST00000252252 - KRT6B,ENST00000514464 - BACE1,ENST00000559037 - GOLM2,ENST00000577751 - SS18,ENST00000503336 - SLC26A2,ENST00000457544 - HGF,ENST00000481377 - EXTL1,ENST00000468797 - nan,ENST00000481198 - GABBR1,ENST00000634214 - RNH1,ENST00000618372 - CEACAM19
ENST00000372879 - TOMM7,ENST00000601041 - PSG4,ENST00000544301 - VIM,ENST00000372879 - TOMM7,ENST00000568786 - GSTM2,ENST00000549401 - TRHDE,ENST00000550820 - GABBR1,ENST00000445823 - BACE1,ENST00000520943 - NDRG1,ENST00000409435 - SCN9A,ENST00000541932 - FLT1,ENST00000524464 - RNH1,ENST00000379554 - INSC
ENST00000361981 - L1CAM,ENST00000521597 - TNFRSF11B,ENST00000294521 - KIAA1522,ENST00000593482 - PSG2,ENST00000569365 - RPS15A,ENST00000551148 - ANO4,ENST00000583961 - GPS1,ENST00000563491 - HSD17B2,ENST00000432556 - OLR1,ENST00000220244 - CEMIP,ENST00000304568 - TM4SF20,ENST00000501056 - MTCYBP18,ENST00000287020 - GDF6
ENST00000475497 - SYPL2,ENST00000532873 - DKK3,ENST00000314124 - TMEM40,ENST00000258534 - DRAM1,ENST00000509575 - TMEM165,ENST00000492878 - EPHB4,ENST00000466473 - HILPDA,ENST00000437265 - HLA-B,ENST00000511572 - APBB2,ENST00000525310 - CPQ,ENST00000329255 - missing,ENST00000608763 - GAS6,ENST00000339431 - LRRC17
ENST00000539681 - MMP10,ENST00000373710 - SERINC2,ENST00000366718 - GUK1,ENST00000473859 - NCKAP5,ENST00000502721 - LMAN2,ENST00000468758 - MGAT5,ENST00000340750 - OR1J4,ENST00000526110 - HSPA8,ENST00000409435 - SCN9A,ENST00000585301 - SMURF2,ENST00000604975 - TPM2,ENST00000486085 - RTN4,ENST00000375353 - TMEM255B
ENST00000472990 - FLOT1,ENST00000303354 - SCN9A,ENST00000525643 - IL32,ENST00000296641 - F2RL2,ENST00000481946 - PTK7,ENST00000466214 - IGF2BP2,ENST00000594794 - HOMER3,ENST00000316793 - OXTR,ENST00000637225 - PGM5P2,ENST00000448693 - SPCS1,ENST00000521597 - TNFRSF11B,ENST00000541363 - HMGA2,ENST00000281834 - TNFSF4
ENST00000493406 - WNT5A,ENST00000225648 - HOXB6,ENST00000616241 - HRAS,ENST00000450024 - HFE,ENST00000434323 - TXNDC9,ENST00000483616 - PKD1L1,ENST00000455211 - CEACAMP11,ENST00000383329 - HLA-C,ENST00000521647 - PLAT,ENST00000306773 - NPTX1,ENST00000467922 - HLA-C,ENST00000316793 - OXTR,ENST00000584221 - CPD
ENST00000267377 - SSTR1,ENST00000561491 - MT2A,ENST00000452018 - AGTRAP,ENST00000463678 - ATXN7L2,ENST00000550603 - PAWR,ENST00000431360 - DDX39B,ENST00000468792 - COL6A3,ENST00000519826 - COX6B1P4,ENST00000495041 - CEMIP,ENST00000479053 - RECK,ENST00000582147 - COLEC12,ENST00000624710 - nan,ENST00000352041 - PLAT
ENST00000604975 - TPM2,ENST00000375915 - NALF1,ENST00000336429 - SERPINB7,ENST00000474267 - WNT5A,ENST00000505945 - SIL1,ENST00000458640 - DDX39B,ENST00000513594 - PDE5A,ENST00000375915 - NALF1,ENST00000580928 - RFNG,ENST00000544577 - OLR1,ENST00000465898 - SLC38A11,ENST00000532873 - DKK3,ENST00000462712 - NABP1
ENST00000486085 - RTN4,ENST00000220244 - CEMIP,ENST00000438925 - MMS19,ENST00000627958 - GSTT1,ENST00000560723 - STARD5,ENST00000523582 - TRPA1,ENST00000482681 - PDE1C,ENST00000445907 - CHRM2,ENST00000533131 - BDNF,ENST00000383197 - TAPBP,ENST00000614102 - FAT1,ENST00000480356 - F3,ENST00000521647 - PLAT
ENST00000480605 - FLOT1,ENST00000367718 - TNFSF4,ENST00000343053 - NELFB,ENST00000394627 - CCL7,ENST00000569244 - DDX19A,ENST00000445907 - CHRM2,ENST00000588178 - PRKAR1A,ENST00000566213 - HSD17B2,ENST00000621587 - TBC1D3E,ENST00000538545 - ACTN1,ENST00000246646 - KRT38,ENST00000526110 - HSPA8,ENST00000357742 - MCTP2
ENST00000507597 - USP53,ENST00000554311 - BDKRB2,ENST00000613310 - TSEN34,ENST00000481570 - COL1A2,ENST00000427097 - CDK5RAP1,ENST00000512494 - PDE5A,ENST00000395983 - BDNF,ENST00000511201 - APBB3,ENST00000623662 - nan,ENST00000475409 - EIF4A2,ENST00000599371 - PSG4,ENST00000370207 - F3,ENST00000220244 - CEMIP
ENST00000297354 - SBSPON,ENST00000467922 - HLA-C,ENST00000620201 - RASSF7,ENST00000518092 - SLIT3,ENST00000550438 - OS9,ENST00000498873 - SEPTIN7P14,ENST00000452492 - TBC1D5,ENST00000409672 - SCN9A,ENST00000266646 - INHBE,ENST00000600238 - RPL18A,ENST00000528286 - SULF1,ENST00000454872 - NAALADL2,ENST00000498999 - MTND4P12
ENST00000612363 - TWIST2,ENST00000618372 - CEACAM19,ENST00000634448 - LGALS7B,ENST00000466620 - ADAM33,ENST00000587087 - CNN1,ENST00000366789 - STUM,ENST00000461836 - DPP4,ENST00000543517 - TCP1,ENST00000626301 - DDX3X,ENST00000524009 - PLAT,ENST00000492719 - GAPDH,ENST00000321925 - SLC14A1,ENST00000480356 - F3
ENST00000507750 - KCNN2,ENST00000474267 - WNT5A,ENST00000403305 - C22orf23,ENST00000255192 - BHMT2,ENST00000576693 - FXR2,ENST00000549922 - TRHDE,ENST00000591943 - missing,ENST00000264805 - PDE5A,ENST00000522812 - PLAT,ENST00000559206 - UACA,ENST00000486085 - RTN4,ENST00000591504 - CCDC68,ENST00000234389 - GRIN3B
