GSE105951_PD78,GSE64553_MRC5_PD52,GSE63577_BJ,GSE63577_MRC5,GSE63577_HFF,GSE130727_WI38,GSE130727_IMR90,voic_epithelia_sen,GSE109700_early_sen,GSE109700_deep_sen,GSE63577_WI38,GSE64553_HFF_PD74,GSE63577_IMR90
LPAR1,TNFSF4,ADAMTS12,RPL17-C18orf32,COL8A1,P3H2,GPR39,SRXN1,EDIL3,ITGA3,CNTNAP1,ALDH1L2,KIRREL1
RGS4,THY1,COL1A2,COL1A2,COL5A2,TRIM32,BCL2L2-PABPN1,ITGB6,SERPINE1,CDH11,FMN2,MYPN,ADAMTS8
PIK3R2,CCDC9B,SPOCD1,ITGA3,RECK,KRTAP1-5,IGF2BP3,WNT7A,COL1A2,COL1A2,CPA4,COL6A3,LTBP1
FBN2,F2RL2,MAGED4B,AGRN,SFRP4,PCDHGA9,NDUFC2-KCTD14,ADGRF4,ADAM12,PRSS12,JCAD,DCLK2,PAPPA
NACA2,FKBP1C,MAGED4,LPAR1,PSG1,ITGBL1,PEDS1-UBE2V1,GLUD2,THY1,EDA2R,RAI14,TENM2,SFRP1
THY1,BDNF,RGMB,FKBP10,COL16A1,RGPD6,TGIF2-RAB5IF,NOMO2,PLAT,TGFBI,ZC3H11A,COL1A2,SVEP1
PDCD1LG2,QSOX1,SVEP1,LTBP1,BRINP1,CPA4,TNFRSF11B,CDC42EP2,COL6A3,TNFSF4,IGF2BP1,PXDN,PRSS12
SEMA3A,MARCHF4,SLC38A11,ADGRB2,CRABP2,ALPK2,SCN9A,SMIM11,FBN2,IGFBP3,TMEM30A,PTK7,BDKRB2
LRP11,ASNS,PLPPR4,MEST,FBN1,TBX5,FAT1,IL1A,FAT1,LAMA1,LAMA1,ACKR4,AJUBA
MEST,ZNF469,NOMO1,FBN2,PTK7,RBM14-RBM4,COMMD3-BMI1,DSG3,ULBP1,ANKRD1,COL1A2,KRT33A,SLC7A11
TGFBI,WNT16,SGCD,ZC3H11A,SEMA5A,CDH6,COL11A1,SULT1A4,DCBLD2,DDX47,GPSM1,MEGF6,RGMB
TNFSF4,TRHDE,COL3A1,VAT1L,PAPPA,NEDD8-MDP1,FMC1-LUC7L2,SERPINA3,LTBP1,GALNT5,RPL17-C18orf32,COL3A1,TRO
ZBED6,CD248,FMN2,RELN,FMO4,CFAP298-TCP10L,DDX47,ST6GALNAC6,PCDH10,HHIP,TMEM130,CD248,SCN9A
NOG,ADAMTS12,MMP2,COL5A2,COL1A2,SCN8A,COL6A3,NTF4,COL16A1,ST6GALNAC5,F2RL2,NEK7,PTGES3L-AARSD1
SCN8A,COL4A6,RSPO1,FMN2,IGF2,PCDHGA12,CTAG2,CCDC9B,PRSS35,POFUT1,GPC1,AGRN,PTK7
PLXNA1,EDIL3,NID2,PAPPA,GDF6,CHRM2,THY1,HEPHL1,RUSC2,SLC9A7,GBA1,COL15A1,COL11A1
CHRM2,KIRREL1,PAMR1,ZC3H7B,CDC42EP2,SEMA3A,EDIL3,CPA4,KIRREL3,SHC3,FOXF1,ARNT2,AGRN
P4HA1,ADAM23,CHRM2,WNT5B,KRT34,PCDH18,NOMO1,AGRN,KISS1,FOXL1,FIBIN,CHRM2,CD248
SLC9A7,SLC7A11,ASB5,SVEP1,NFATC4,F2RL2,CLVS1,LBHD1,C22orf23,PDE5A,NPTX1,ANKRD52,FOXF1
PDGFRA,EIF4G2,FAT1,PLXNA1,PDE8B,SMURF2,UCHL1,PLEK2,MASP1,CHRM2,RGMB,KIRREL1,COL4A5
VGLL3,PGAM4,GALNT5,COL4A5,AJUBA,NT5E,ARSJ,PLCH2,POFUT1,SERPINE2,EVC,CCDC80,PDGFRA
CCBE1,IGDCC4,CPA4,COL5A1,PODN,URGCP-MRPS24,PSG4,RBM14-RBM4,TGFBI,FKBP10,COL5A2,ATG9A,ANTXR1
BDKRB2,RGMB,DCBLD2,P3H3,SLIT2,GBA1,FOXL1,S100A14,CCDC80,DKK3,TXNRD1,FBLN1,COL3A1
SERPINE1,PTK7,MEGF6,RIPOR3,PLPPR4,CST1,SNX22,MDFI,MICAL2,DYNC1H1,ADAMTS12,SEMA5A,FST
CYB5D1,P3H2,PTK7,ANKRD52,OSR2,FAT1,LPAR1,PLXNB3,PIK3R2,EDIL3,FBN2,STAC,SERPINE1
LTBP1,MMP2,HMGA2,EDIL3,DCBLD2,E2F7,COL1A2,H2BC12,PPP1R3C,CCDC80,REEP2,ALX4,TGFBI
NID2,ALDH1L2,SCN8A,FIBIN,COL3A1,DPP4,SRXN1,NPFF,ALDH1B1,BMPER,SLC7A11,ADAMTS12,EMILIN1
LAMA1,LRP11,FBLN1,SERPINE1,CPA4,AK5,TXNDC5,GRIN3B,NPPB,CCN4,MOXD1,SVEP1,PLXNA1
TUBB3,RAB23,WNT5B,WNT5A,PIK3R2,NID2,ACAD11,MRPS24,SLC9A7,PLOD2,OXTR,CCDC9B,EDIL3
PAMR1,ABCC4,CERCAM,MEGF8,ATXN7L2,EIF3C,CPA4,ALDH1A3,IGFBP3,CDH6,FKBP10,CERCAM,MMP1
MXRA5,ITGA3,PIK3R2,ARNT2,FBLN1,RAB23,WNT5B,DDTL,SERPINB7,SCN8A,PLXNA1,BDNF,FKBP1C
UCHL1,AGRN,AJUBA,RAI14,RPL17-C18orf32,H2BC12,PCDH18,FAT2,PTK7,THY1,ARMC9,MMP2,RAI14
ARSJ,PLXNA1,GBA1,NES,RSPO1,BCL2L2-PABPN1,FKBP10,IL36G,PLOD2,P4HA1,COL6A3,EFEMP1,PCDH18
TRHDE,LRRC17,ANKRD52,P3H2,FAT1,RAI14,ARPIN-AP3S2,STBD1,EXTL1,ADAMTSL1,ANTXR1,SERPINE1,SH2D5
IGFBP3,PDGFRA,CRABP2,RSPO1,NID2,RNF103-CHMP3,GPSM1,KRT7,PLXNA1,MXRA5,PRSS12,DKK3,TNFSF18
PLOD1,P3H3,MMP1,SHANK1,GABBR2,C7orf25,JSRP1,CSNK1A1L,PNMA2,MICAL2,CDH6,FAT1,ZC3H7B
PTCHD4,FOXF1,MYPN,CLIP3,MMP2,EDA2R,MMP1,RHOD,DKK3,KIRREL1,EDIL3,TBX5,NLGN2
NRG1,ITGA8,ATXN7L2,KIRREL1,TMEM178B,ATP5MF-PTCD1,LOX,B4GALNT4,NALCN,PDCD1LG2,FZD7,PSAT1,FN1
CALU,NES,MAB21L1,TNFSF4,FKBP10,RPL36A-HNRNPH2,TNFSF4,LIN37,CDH10,PAPPA2,DNAH5,CDH11,GBA1
NAV3,ZC3H7B,KIRREL1,LAMB1,NFASC,PCDHGB7,SMPD4,OTUB2,AFAP1,INSYN2B,MMP2,THBS2,CPA4
RAB23,CLTC,SERPINE1,AJUBA,ANTXR1,NAV3,DNAJC25-GNG10,PRICKLE4,KIRREL1,EXT2,LRRN3,NOMO1,ELFN2
TMEM30A,ARNT2,AGRN,MYLK,COL6A3,PGAM4,AMIGO3,AJUBA,CDH13,PCDHGB5,KIRREL1,CSPG4,EDA2R
CDH2,PIEZO2,SLC16A2,ACTG2,BDNF,LTBP1,P3H2,PDCD6,FSTL1,IGF2BP3,CERCAM,VGLL3,SGCD
NLRP10,PCDHGB4,CCDC9B,FOXF1,LOXL1,PCDHGA6,TLR9,TGFBI,SRXN1,PDGFRA,PDGFRA,RGMB,TRHDE
DDAH1,RSPO1,GRIA1,ANTXR1,UCHL1,RGPD8,ENO3,CLDN1,LOXL1,PTP4A1,TMEM200A,SSC5D,RELN
KISS1,MYLK,CDC42EP2,ANGPTL2,EDA2R,STC1,FRMD6,B3GNT4,CDH4,PXDN,CLIP3,RUSC2,CALU
CCDC9B,LIF,EDA2R,BDKRB2,LOXL3,EXT1,IL11,SERPINE1,PCDHGB4,EFEMP1,CCND1,FSTL1,MFAP4
C7orf25,FST,CDH11,NLGN2,NOMO1,NPIPA5,SLC7A11,ULBP2,NTM,COL1A1,CALU,MAB21L1,GPC1
EDARADD,SVEP1,FSTL1,SERPINB7,SHOX2,MOXD1,CDH6,ARHGEF18,AJUBA,SIM2,TMEM47,CDC42EP2,MARCHF4
FOXL1,TWSG1,EXT2,ADAM23,LYNX1,MARCHF4,RAB23,SPRR1B,NRXN3,NAV3,PVR,MTCL1,FSTL1
COL3A1,THSD4,TBX5,NEO1,ADGRD1,JCAD,FBN1,H4C12,PTPRS,MMP1,ADAM9,MOXD1,PLAU
PVR,RELN,PXDN,COL16A1,VGLL3,SNX22,PPP1R3C,GPC1,FN1,PPP4R4,CDC42EP2,CTIF,GPX8
CLDN1,VAT1L,COLEC12,DCTN1,GALNT5,FST,BDKRB2,FAM83H,FOXL1,PDE1C,SGIP1,PDE1C,JCAD
JCAD,CALU,STMN2,CORO7-PAM16,CDH11,RELN,C1QTNF5,SPOUT1,ST6GALNAC6,FN1,COL5A1,IGFBP3,ANGPTL2
P3H2,PTGES3L-AARSD1,FKBP1C,PDGFRA,ROBO2,PYGO2,PDGFRA,UBE2NL,MTCL1,WNT5A,WNT5A,NDST1,SPEG
PDE1C,MASP1,FGF1,PLAT,LEP,ATG9A,ADAMTS12,CERCAM,MMP14,RUSC2,FN1,PLXNA1,COL15A1
GPX8,ARMC9,ADGRB2,IGF2BP3,HMGA2,AGBL5,COL4A5,GJB3,SPOCD1,CDH13,EDA2R,RAB23,ATG9A
EPHB2,COL16A1,KIRREL3,CERCAM,GBA1,SRXN1,BDKRB1,KRT16,MEST,ITGA2,PXDN,COLEC12,LIF
NALCN,PLAT,NDST1,MASP1,SSC5D,ATG10,ST6GALNAC2,TMEM132A,ADAM19,COL16A1,SCN9A,UCHL1,COL6A1
FMN2,AJUBA,KIAA1549L,PTGES3L-AARSD1,DDAH1,PTCD1,AK5,MFAP2,SCN8A,FSTL1,NT5E,EDA2R,FRMD6
FN1,EMILIN1,SEMA5A,ATG9A,MAB21L1,FKBP1C,ATG10,PPAN-P2RY11,ACTG2,SVEP1,IRAG1,TRHDE,FBN1
CANX,RAI14,LAMC1,MMP2,KIRREL1,MGAT5,CLTC,ATG9A,P3H1,PPP1R3C,TMEM178B,ADGRA2,P3H2
FKBP10,COL3A1,LAMA2,ECM1,CERCAM,SGIP1,COL3A1,RAB43,NLRP10,SRXN1,LRP3,LRRC15,CLIP3
ZNF229,HSD17B2,SH2D5,ARHGAP22,SERPINE1,PCDHGA5,TGFBI,GET4,BMP1,TMEM200A,TBX2,HOXA13,PLAT
COL4A5,CLIP3,PTGES3L-AARSD1,PTK7,CORIN,DNAH5,TVP23C-CDRT4,NDST1,WNT5A,SMURF2,CCDC68,ODAD2,MYLK
FSTL1,PCDHGC3,ANPEP,GPSM1,PTCHD4,WNT16,TMEM30A,PKP3,ARNT2,TENM3,TWSG1,INHBE,SGIP1
LRRN3,SERPINE1,DDAH1,PCDH18,ANGPTL2,SLC7A11,ZBED6,FOLR3,ALDH1L2,CDC42EP2,ABCC4,SPEG,ABCC4
ADAM9,FN1,GPC1,CLTC,SLC38A11,IL12A,PDE1C,PGF,CERCAM,RAI14,IGF2BP3,TRAM2,GPSM1
ACTG2,SEMA5A,FBLN2,LIF,RAB23,FAM166A,SEMA3A,PFKFB4,FLNB,GPX8,TNFRSF10D,PPFIA4,MEST
BCAT1,CTHRC1,CALU,CALU,FMOD,MYPN,ANKUB1,ODAPH,PSAT1,LRP11,EXT1,PAMR1,LRP11
ADAM19,NEO1,BDNF,THSD4,SEPTIN11,ARPIN-AP3S2,CYP51A1,MRM2,IGF2BP3,CALU,PTGES3L-AARSD1,PTGES3L-AARSD1,ALDH1L2
CDH11,TGFBI,LOXL1,SHC1,C1orf198,EPG5,LRRN3,CSF2,TGFB2,SEMA5A,CORO7-PAM16,NID2,LAMB1
FAT4,AK5,PLXNA1,FN1,ARNT2,MASP1,IGF2BP1,ZPLD1,ARHGEF18,CDCP1,ATG9A,CLIP3,ACTG2
MTCL1,WNT5B,DRAM1,GPC1,MEGF6,PCDHGB6,ANKRD30BL,COL22A1,CDC42EP2,CLTC,GPX8,ACAN,FZD7
INHBA,SEMA3A,PDCD1LG2,SEMA5A,CCDC9B,PLAT,ST6GALNAC6,CALML3,CALU,FAT4,GPC4,GALNT5,VAT1L
MYLK,SEPTIN11,PLOD1,SGIP1,COLEC12,NCKAP5,CHTF8,LIPG,CMKLR2,THSD4,BDKRB2,CRABP2,P3H3
FZD7,CREB3L1,FN1,ST6GALNAC6,JAM2,CNNM2,ANKHD1-EIF4EBP3,ELL3,C5orf46,HEG1,ANGPTL2,PLOD1,MXRA8
ALDH1L2,SEC61A1,MYLK,JCAD,HOXA11,LOXL2,SFRP1,DPYSL4,AMIGO2,SLC1A1,PTK7,GPC1,ARNT2
MYPN,ADAM9,MTCL1,TBX2,RXFP1,GYG2,NAV3,KRT76,LRP11,KIAA1549L,SERPINE1,PCDHGB4,COLEC10
SEPTIN11,WNT5A,ODAD2,RGS4,STS,NGRN,FZD7,ENTPD3,FAM220A,DDR2,TEK,SGCD,MMP14
ITGA3,LAMB1,ALDH1L2,CREB3L1,CDH2,ARPC4-TTLL3,UTS2B,OVCA2,PTP4A1,AFAP1,CLTC,WNT5B,TBX2
KIRREL1,UCHL1,PAPPA,AK5,ADAMTSL5,THY1,RAB43,SNAI2,MFAP5,MRGPRX3,WNT5B,NFATC4,PSAT1
PTPRS,NT5E,CSPG4,UCHL1,ST6GALNAC6,MMP3,DSEL,MMP14,CLTCL1,PNMA2,NLGN2,RECK,TBX5
SLC1A1,ANGPTL2,IGFBP3,SPEG,ADGRA2,FAM47E-STBD1,PAPPA,FERMT1,WDR1,LIF,MYLK,NFASC,CDH13
CDH6,IGF2BP3,LOXL3,EMILIN1,IGFBP3,CYB5D1,FAT4,ANGPTL4,INHBE,FBN2,TBX5,BICC1,CDH11
THSD4,GFRA1,ANTXR1,CDH13,FBLN2,GPR176,EIF4A1,IRF6,HMGA2,ULBP1,SERPINE2,GRIA3,TMEM158
CEMIP,NCKAP5,ADAMTS2,REEP2,FSTL1,FBN2,ARHGEF18,TFPI2,QSOX1,EPHB2,AGRN,FN1,SEMA3A
PLAT,GPX8,ATP2B4,SCN9A,CLIP3,ADAMTS12,RAI14,TRIM29,SEMA7A,CLDN11,COL4A5,SERPINE2,SEC61A1
TMEM200A,FRMD6,PODN,CCDC80,MGARP,ISY1-RAB43,MTCL1,SEMA3F,REEP2,NRXN3,CPED1,ADAMTS2,EXT1
SVEP1,E2F7,ATG9A,ITGB1,SH2D5,SH2D5,SEC61A1,PLAU,GPX8,MEST,PCDH18,GPX8,NT5E
NRK,PAPPA,PDE1C,CAPN2,COL4A5,GPR39,FSTL1,MMP10,TEK,CCBE1,SEMA3A,MXRA8,IGF2BP3
LAMC1,CSPG4,SEPTIN11,SLC14A1,PTPRS,CLVS1,CALU,CELSR1,CCDC81,BDKRB1,DDAH1,CYP26B1,LUM
CCND1,ACTG2,ARNT2,TMEM178B,SLC16A2,MXRA5,SLC39A1,SPOCK1,COL7A1,LAMC1,RIPOR3,SCN9A,ARSJ
TNFRSF10D,MAGED1,GPX8,ABCC4,ADAMTS5,FAM209A,LRP3,SEPTIN5,TRAM2,ALDH1L2,ITGBL1,DDAH1,NES
ANTXR1,BDKRB2,TRHDE,IRAG1,TBX5,PCDHGC3,ABCC4,TSPAN1,HEG1,MMP14,AJUBA,AKAP6,THSD4
NALF1,ECM1,CLSTN2,PDCD1LG2,NLGN2,GDF6,PXDN,FJX1,RGMB,P3H3,ASPH,SEPTIN11,ARHGEF17
ASPH,NTM,VGLL3,CCND1,FRMD6,TM9SF1,LTBP1,FKBP10,SPOCK1,AHNAK2,FSTL1,RSPO1,SEMA5A
NEDD4,SGIP1,TNFSF18,EFEMP2,NDST1,SCN9A,KCP,LAMB3,VLDLR,ADAM12,SHANK1,ATP2B4,MOXD1
DNAH5,CAPN2,TRAM2,PLSCR3,WNT5B,RSPH10B,SCN8A,PTGFRN,PDE1C,PTPRS,PLSCR3,CALU,SERPINE2
SEMA6D,CANX,C1orf198,ARHGEF17,FZD7,INA,MATR3,PTGES,SIM2,P4HA2,LIF,MYLK,PCDHGC3
FGF1,ATG9A,MXRA8,MTCL1,KIAA1549L,SERINC4,WFDC1,SLC38A5,POSTN,SEMA3A,ECM1,SLC38A11,CCDC80
COL8A1,TBX2,NFASC,PLOD1,HOXA13,ARMCX6,NT5E,ITGA3,NDST1,SPOCK1,PTPRS,ARHGEF17,PLOD1
BMPER,TNFSF18,PAPSS2,ADAM9,LAYN,PPP1R42,GDF9,S100A3,LAMC1,TXNRD1,C1orf198,ANTXR1,SLC38A2
ANGPT1,TBX5,ARHGEF17,FRMD6,USP53,SCUBE3,RGMB,CCDC8,AGRN,MYO10,SPEG,LAMC1,TXNRD1
QSOX1,CLIP2,SSTR1,DDAH1,GPC1,MAGED4B,NALF1,F2RL1,CHST3,PTGIS,ARNT2,PTPRS,FMN2
CADM1,SGCD,SFRP1,NAV3,MXRA8,MMP2,FMN2,RIPK4,NUAK1,LMO7,MCFD2,CPA4,SEPTIN11
