,logFC,AveExpr,t,P.Value,adj.P.Val,B,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
GLUD2,4.674071910063992,0.6495264917457948,20.015920032894943,3.4042364002253804e-46,7.821014909235746e-44,94.44196468448546,99.25692976181224,True,True,2,False,False,2
RAD54B,4.738173864908467,-0.601928257824343,19.999866406655848,3.74221713516315e-46,8.488674817990334e-44,93.83084873009322,99.17501119099573,True,True,2,False,False,2
H1-1,7.549197535737944,-5.241813243012363,19.909072222596688,6.395705959089259e-46,1.4326381348359941e-43,91.37125884955614,98.65164140458133,True,True,2,False,True,3
COLEC10,9.134114169413053,-3.2440753254300847,19.786667188130004,1.3194091626615813e-45,2.9189891598636465e-43,93.18309597443609,97.93992162052615,True,True,2,False,True,3
H4C3,7.677018621869058,-3.6716078588498893,19.776489565419993,1.401407112914147e-45,3.06258725163677e-43,92.45294580050316,97.89189893294859,True,True,2,False,False,2
TRPA1,8.888867766045813,-1.6076960476174968,19.137126643586885,6.344999955903192e-44,1.3198242908117204e-41,89.37093395732751,94.12849019803934,True,True,2,False,False,2
PDCD1LG2,5.929828419203777,1.0537242788897736,19.135490125059615,6.407629090436366e-44,1.3198242908117204e-41,89.35968541315289,94.12849019803934,True,True,2,True,True,3
FADD,3.6478229087717264,2.126323366268144,19.059033199176678,1.0142472492948237e-43,2.0653762167458227e-41,88.88452039500096,93.68067641565085,True,True,2,False,False,2
CPA4,8.424654312595703,-0.11535697476251582,19.00698892682702,1.3870099486943485e-43,2.7616909200669694e-41,88.58873845217066,93.39014566842337,True,True,2,False,False,2
CHRNA1,8.426131428936758,-2.3904679670556397,18.957649306746887,1.8667216486168433e-43,3.6760057080454763e-41,88.28446346849613,93.10416205547651,True,True,2,False,True,3
FGF5,9.705303048638863,-2.350731505761534,18.934537708847778,2.14559883634297e-43,4.179253385572394e-41,88.16734382577721,92.9758561980647,True,True,2,False,False,2
