,logFC,AveExpr,t,P.Value,adj.P.Val,B,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
KRTAP2-4,8.026758223673914,-5.435619060111376,17.742544975360584,3.830108310253921e-40,9.280302694078884e-38,78.34054254364968,85.27033936961115,True,True,2,False,False,2
LRRC15,7.734092303349798,-0.9795223573040852,17.65903427085047,6.395799955219972e-40,1.5298261508274232e-37,80.18910148402783,84.77049433874156,True,True,2,True,True,3
BDNF,5.968692920789095,0.8951206388018174,17.573339099399032,1.0832931608926451e-39,2.52637506284676e-37,79.6750931624808,84.26886294693664,True,True,2,False,True,3
TMEM212,9.03045746386527,-5.096229068335843,16.93553654237741,5.605765190906158e-38,1.21612512984577e-35,75.05078370390372,80.39480857370806,True,True,2,False,False,2
FGF5,9.755398013053702,-2.48928815314815,16.85210096214911,9.422963988888753e-38,2.020738380927557e-35,75.26083213915888,79.88701527505752,True,True,2,False,False,2
ODAD2,6.281483830641813,-0.049000997623351326,16.68359058346475,2.695512303038055e-37,5.714792390656931e-35,74.19954656791258,78.84742028529882,True,True,2,False,False,2
TNFRSF11B,8.139753260567788,1.660576925984093,16.674299965746904,2.856555300324809e-37,5.988174408782017e-35,74.1587273828455,78.80069166227528,True,True,2,False,True,3
RAB6D,6.41370157360429,-1.829887849240209,16.53015319035385,7.035814458399831e-37,1.458524337226285e-34,72.99079457573639,77.91046796513442,True,True,2,False,False,2
TM4SF20,8.327251482214827,-3.0693525301947773,16.50692624911316,8.137198843941606e-37,1.6683046025430609e-34,73.03701313844478,77.77608525909967,True,True,2,False,False,2
RGPD3,4.7637508197298075,-0.5403714093511442,16.314425824383946,2.7213796628813855e-36,5.518780475041088e-34,71.48739460945046,76.57973625435142,True,True,2,False,False,2
ASB5,7.878817652722646,-0.1367321716613778,16.27258643817549,3.539530632251258e-36,7.100755161925992e-34,71.66457045077593,76.32769202257155,True,True,2,False,False,2
IGF2BP1,8.946760035294385,-3.095076631795257,16.098476350089314,1.0586198426844594e-35,2.079017937364627e-33,70.5616752377462,75.25341243208383,True,True,2,False,False,2
ALPK2,9.03613718321421,-0.4278753984961994,15.97666961349216,2.2819366164547677e-35,4.389081593113052e-33,69.81869004142433,74.50618806790497,True,True,2,False,False,2
PCDHGA8,5.222425278020212,-0.9972244284247527,15.814162720013325,6.370815548395749e-35,1.2006091483476716e-32,68.40901634903899,73.49989392418973,True,True,2,True,True,3
GALNT5,8.241599602283296,-0.12118750497898374,15.698617915316099,1.3237956924491961e-34,2.4453521023786785e-32,68.07825939888635,72.78853385409812,True,True,2,True,True,3
PRSS12,7.10321207461549,1.8438066725178806,15.605423856301845,2.3897603446192044e-34,4.3711528185843623e-32,67.49586465919779,72.20769619861211,True,True,2,False,False,2
ZBED6,5.418772772875821,-0.9797810067860855,15.590116737955615,2.6334143379193696e-34,4.7700593497632697e-32,67.11920507054175,72.12036422868823,True,True,2,False,False,2
CSNK2A3,6.12904649673746,-2.5214771064442494,15.560339045513176,3.181031342703227e-34,5.706586707770587e-32,66.45583729706493,71.94110190535093,True,True,2,False,False,2
RGMB,5.111402466487551,4.306730118692656,15.416099069840593,7.95123087298783e-34,1.3994916452578673e-31,66.30559757391897,71.04402882266488,True,True,2,False,False,2
MKX,6.364654473464677,1.4750213439558346,15.395927268064478,9.039233351592141e-34,1.5761212770154632e-31,66.177294704566,70.92517094191943,True,True,2,False,False,2
ATP5MGL,7.581393344299457,-4.528726227882918,15.393727857062663,9.166537236251813e-34,1.5835193075625007e-31,64.98385958485348,70.92048810292667,True,True,2,False,False,2
ZNF177,3.9639962215926543,-0.2951772174608015,15.217349553756145,2.8170387185950026e-33,4.821788199341923e-31,64.41606047081746,69.8069930278407,True,True,2,False,False,2
FZD2,4.609722611708312,1.7787128132773495,14.882787936174063,2.3841747953242059e-32,3.971566888961045e-30,62.93369946172201,67.69839209063092,True,True,2,False,False,2
MAB21L1,6.198007710005538,0.8240896577344365,14.828107137683885,3.382593859471308e-32,5.535881897908438e-30,62.58737613618169,67.36630190520385,True,True,2,False,False,2
